Wall time,Step,Value
1634711405.0904899,10001,-229.8351287841797
1634711438.8637872,20001,-195.5476531982422
1634711476.773969,30001,-152.15243530273438
1634711523.6683345,40001,-127.660888671875
1634711567.3534343,50001,-114.22998809814453
1634711612.055278,60001,-120.52615356445312
1634711657.569666,70001,-107.51293182373047
1634711700.0522847,80001,-95.1800765991211
1634711742.5978312,90001,-80.147216796875
1634711784.9990706,100001,-65.36978912353516
1634711827.304915,110001,-47.63639450073242
1634711870.139031,120001,-29.547569274902344
1634711912.6876197,130001,-15.375153541564941
1634711953.3744676,140001,-0.026044758036732674
1634711995.11242,150001,22.324771881103516
1634712038.3822691,160001,26.2071590423584
1634712077.65286,170001,46.8580322265625
1634712118.9475656,180001,68.56961822509766
1634712157.1088865,190001,84.6338119506836
1634712197.1355002,200001,87.69243621826172
1634712236.284959,210001,93.6004409790039
1634712277.2308314,220001,97.06285858154297
1634712318.6147764,230001,100.45343017578125
1634712357.4728181,240001,98.16981506347656
1634712396.0027568,250001,101.22444915771484
1634712435.924909,260001,89.5123519897461
1634712474.4900818,270001,101.58201599121094
1634712514.1851194,280001,102.70683288574219
1634712553.8525455,290001,113.82942199707031
1634712594.4696887,300001,116.4101791381836
1634712634.6736517,310001,117.11961364746094
1634712671.9432611,320001,134.54457092285156
1634712710.1526012,330001,138.21630859375
1634712748.3471372,340001,145.7481231689453
1634712786.7579072,350001,134.7890167236328
1634712825.2437909,360001,136.56907653808594
1634712863.7543166,370001,151.7389373779297
1634712901.3337,380001,159.20648193359375
1634712938.4838662,390001,160.2335205078125
1634712976.025404,400001,156.29946899414062
1634713012.7590113,410001,152.89617919921875
1634713050.555159,420001,142.1382293701172
1634713088.1123774,430001,136.98379516601562
1634713126.1629026,440001,125.3477554321289
1634713163.354836,450001,99.99227142333984
1634713200.970931,460001,42.34375
1634713238.834112,470001,15.222366333007812
1634713276.4937208,480001,16.428173065185547
1634713313.6872032,490001,-33.12900924682617
